Word,Definition,Turkish Translation,Example Sentence,Part of Speech,Related Forms,Synonyms,Antonyms,Collocations,Topic,Lang
stir,Move a spoon or other implement around in (a liquid or other substance) in order to mix it thoroughly,karıştırmak,She stirred the soup.,"verb, noun","stirs, stirring, stirred","mix, blend",none,"stir the pot, stir the mixture",thức ăn,en
stock,The goods or merchandise kept on the premises of a business or warehouse and available for sale or distribution,stok,The store has a large stock of goods.,"noun, verb","stocks, stocking, stocked","inventory, supply","depletion, lack","in stock, stock market",nghề nghiệp,en
stomach,The internal organ in which the major part of the digestion of food occurs,mide,He felt a pain in his stomach.,"noun, verb",stomachs,"abdomen, belly",none,"upset stomach, empty stomach",thức ăn,en
stone,"A hard, solid nonmetallic mineral matter of which rock is made",taş,The path was covered with stones.,"noun, verb",stones,"rock, pebble",none,"throw a stone, stone wall",khác,en
stop,Cease movement or operation,durmak,He stopped at the red light.,"verb, noun","stops, stopping, stopped","halt, cease","start, go","stop sign, stop working",khác,en
store,A retail establishment selling items to the public,mağaza,She works at a grocery store.,"noun, verb","stores, storing, stored","shop, market",none,"department store, grocery store",nghề nghiệp,en
storm,"A violent disturbance of the atmosphere with strong winds and usually rain, thunder, lightning, or snow",fırtına,The storm caused a lot of damage.,"noun, verb",storms,"tempest, gale","calm, tranquility","violent storm, weather the storm",khác,en
story,An account of imaginary or real people and events told for entertainment,hikaye,She told a fascinating story.,"noun, verb",stories,"tale, narrative","fact, reality","tell a story, bedtime story",văn hóa,en
straight,Extending or moving uniformly in one direction only; without a curve or bend,düz,He walked in a straight line.,"adjective, adverb","straighter, straightest","direct, linear","crooked, curved","straight line, straight path",khác,en
strain,Force (a part of one's body or oneself) to make a strenuous or unusually great effort,zorlamak,He strained to lift the heavy box.,"verb, noun","strains, straining, strained","exert, force","relax, ease","strain a muscle, strain to hear",khác,en
strange,Unusual or surprising in a way that is unsettling or hard to understand,garip,She had a strange feeling about the place.,"adjective, noun",strangely,"unusual, odd","normal, familiar","strange feeling, strange place",nghề nghiệp,en
strangely,In a way that is unusual or surprising,garip bir şekilde,He was strangely calm.,adverb,none,"oddly, unusually","normally, typically","strangely enough, strangely quiet",khác,en
stranger,A person whom one does not know or with whom one is not familiar,yabancı,A stranger offered to help.,"noun, adjective",strangers,"foreigner, outsider","friend, acquaintance","complete stranger, friendly stranger",khác,en
strategy,A plan of action designed to achieve a long-term or overall aim,strateji,The company's strategy is to expand its market.,"noun, verb",strategies,"plan, tactic",none,"business strategy, winning strategy",luyện trí não,en
stream,"A small, narrow river",dere,The stream flows into the river.,"noun, verb",streams,"brook, creek",none,"small stream, fast-flowing stream",du lịch,en
street,"A public road in a city or town, typically with houses and buildings on one or both sides",sokak,She lives on Maple Street.,"noun, verb",streets,"road, avenue",none,"main street, street name",du lịch,en
strength,The quality or state of being physically strong,güç,He has great physical strength.,"noun, verb",strengths,"power, vigor","weakness, frailty","build strength, inner strength",khác,en
stress,A state of mental or emotional strain or tension resulting from adverse or demanding circumstances,stres,She is under a lot of stress at work.,"noun, verb",stresses,"tension, pressure","relaxation, calm","high stress, stress level",nghề nghiệp,en
stretch,(of something soft or elastic) be made or be capable of being made longer or wider without tearing or breaking,uzanmak,She stretched before her workout.,"verb, noun","stretches, stretching, stretched","extend, lengthen","shrink, shorten","stretch out, stretch muscles",nghề nghiệp,en
strict,Demanding that rules concerning behavior are obeyed and observed,katı,The teacher is very strict.,"adjective, noun",strictness,"rigid, severe","lenient, flexible","strict teacher, strict rules",nghề nghiệp,en
strictly,In a way that involves rigid enforcement or that demands obedience,kesinlikle,This rule must be strictly followed.,adverb,none,"rigorously, sternly","loosely, leniently","strictly speaking, strictly enforced",khác,en
strike,Hit forcibly and deliberately with one's hand or a weapon or other implement,vurmak,He struck the ball with his bat.,"verb, noun","strikes, striking, struck","hit, knock","caress, tap","strike a match, strike hard",khác,en
striking,"Attracting attention by reason of being unusual, extreme, or prominent",çarpıcı,She wore a striking red dress.,"adjective, noun",strikingly,"noticeable, dramatic","ordinary, plain","striking contrast, striking resemblance",luyện trí não,en
string,"Material consisting of threads of cotton, hemp, or other material twisted together to form a thin length",ip,He tied the package with string.,"noun, verb",strings,"cord, thread",none,"piece of string, string theory",khác,en
strip,Remove all coverings from,soymak,He stripped the old paint from the wall.,"verb, noun",strips,"peel, remove","cover, wrap","strip away, strip off",văn hóa,en
stripe,"A long, narrow band or strip, typically one of several, running parallel to each other",şerit,The shirt has blue and white stripes.,"noun, verb",striped,"band, line","block, spot","bold stripes, narrow stripes",khác,en
stroke,An act of hitting or striking someone or something; a blow,darben,He received a stroke on the shoulder.,"noun, verb",strokes,"blow, hit","caress, stroke","a stroke of luck, brush stroke",khác,en
strong,Having the power to move heavy weights or perform other physically demanding tasks,güçlü,He is a strong man.,"adjective, noun",strongly,"powerful, sturdy","weak, feeble","strong arm, strong support",nghề nghiệp,en
strongly,In a way that shows determination or intensity,güçlü bir şekilde,She strongly believes in her cause.,adverb,none,"forcefully, firmly","weakly, mildly","strongly agree, strongly support",luyện trí não,en
structure,The arrangement of and relations between the parts or elements of something complex,yapı,The structure of the building is solid.,"noun, verb",structures,"framework, organization","disorganization, chaos","organizational structure, skeletal structure",khác,en
struggle,Make forceful or violent efforts to get free of restraint or constriction,mücadele etmek,They struggled to lift the heavy box.,"verb, noun","struggles, struggling, struggled","fight, battle","surrender, give up","struggle with, struggle to",khác,en
student,A person who is studying at a school or college,öğrenci,She is a diligent student.,"noun, verb",students,"learner, pupil","teacher, instructor","high school student, university student",trường học,en
studio,"A room where an artist, photographer, sculptor, etc., works",stüdyo,He rented a studio for his paintings.,"noun, verb",studios,"workshop, atelier",none,"art studio, recording studio",nghề nghiệp,en
study,The devotion of time and attention to acquiring knowledge on an academic subject,çalışmak,He studies hard for his exams.,"noun, verb","studies, studying, studied","learn, research","neglect, ignore","study hard, study abroad",trường học,en
stuff,"Matter, material, articles, or activities of a specified or indeterminate kind that are being referred to, indicated, or implied",şey,She put all her stuff in a box.,"noun, verb",stuffs,"things, belongings",none,"pack stuff, random stuff",văn hóa,en
stupid,Lacking intelligence or common sense,aptal,That was a stupid mistake.,"adjective, noun",stupidly,"foolish, unintelligent","intelligent, smart","stupid idea, stupid decision",khác,en
style,A manner of doing something,stil,She has a unique style of writing.,"noun, verb",styles,"manner, mode","disorganization, chaos","fashion style, unique style",khác,en
subject,"A person or thing that is being discussed, described, or dealt with",konu,The subject of the lecture was history.,"noun, verb",subjects,"topic, theme","object, unrelated","main subject, study subject",trường học,en
submit,Accept or yield to a superior force or to the authority or will of another person,teslim olmak,He had to submit to his boss's decision.,"verb, noun","submits, submitting, submitted","yield, surrender","resist, defy","submit a report, submit to authority",luyện trí não,en
